"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2014,280,232,46,2,0,0,0,112,59,38,0,0,202,0,78,0
"Alabama","Clay",2014,114,96,18,0,0,0,0,70,54,36,0,0,0,0,114,0
"Alabama","Colbert",2014,284,251,33,0,0,0,0,87,52,37,0,0,202,0,82,0
"Alabama","DeKalb",2014,360,313,47,0,0,0,0,90,54,38,0,0,299,0,61,0
"Alabama","Elmore",2014,245,224,21,0,0,0,0,84,49,36,0,0,245,0,0,0
"Alabama","Etowah",2014,281,244,37,0,0,0,0,97,54,38,0,0,206,0,75,0
"Alabama","Houston",2014,279,241,38,0,0,0,0,80,52,38,0,0,209,0,70,0
"Alabama","Jefferson",2014,365,158,201,6,0,0,0,112,74,53,0,6,67,2,288,2
"Alabama","Lawrence",2014,104,92,12,0,0,0,0,83,52,27,0,0,0,0,104,0
"Alabama","Madison",2014,338,281,57,0,0,0,0,97,58,39,0,0,211,0,71,56
"Alabama","Mobile",2014,364,301,57,6,0,0,0,115,63,36,0,0,219,81,63,1
"Alabama","Montgomery",2014,284,235,49,0,0,0,0,87,56,40,0,0,196,0,88,0
"Alabama","Morgan",2014,283,238,45,0,0,0,0,93,54,39,0,0,207,0,76,0
"Alabama","Russell",2014,284,218,65,1,0,0,0,108,58,40,0,0,183,0,101,0
"Alabama","Shelby",2014,273,226,46,1,0,0,0,119,54,40,0,0,207,0,66,0
"Alabama","Sumter",2014,241,232,9,0,0,0,0,74,47,34,0,0,241,0,0,0
"Alabama","Talladega",2014,108,86,22,0,0,0,0,79,56,37,0,0,0,0,108,0
"Alabama","Tuscaloosa",2014,280,251,29,0,0,0,0,93,52,36,0,0,189,0,91,0
"Alaska","Aleutians East ",2014,105,104,1,0,0,0,0,56,19,9,0,0,0,0,105,0
"Alaska","Anchorage ",2014,360,275,82,2,1,0,0,152,64,28,7,0,0,0,205,148
"Alaska","Denali ",2014,341,333,8,0,0,0,0,80,44,31,0,0,330,0,11,0
"Alaska","Fairbanks North Star ",2014,364,176,107,34,46,1,0,206,156,53,0,16,94,2,237,15
"Alaska","Juneau ",2014,352,285,65,2,0,0,0,129,61,24,0,0,0,0,347,5
"Alaska","Kenai Peninsula ",2014,199,184,13,0,2,0,0,185,45,9,0,0,0,0,129,70
"Alaska","Matanuska-Susitna ",2014,365,281,73,9,1,1,0,231,74,30,0,0,108,0,202,55
"Alaska","Yukon-Koyukuk ",2014,107,107,0,0,0,0,0,25,9,4,0,0,0,0,107,0
"Arizona","Apache",2014,365,364,1,0,0,0,0,67,27,14,0,0,0,0,53,312
"Arizona","Cochise",2014,365,225,135,5,0,0,0,137,67,47,0,0,256,0,21,88
"Arizona","Coconino",2014,357,250,102,5,0,0,0,126,67,44,0,0,345,0,12,0
"Arizona","Gila",2014,365,97,129,117,22,0,0,200,135,79,0,0,65,254,2,44
"Arizona","La Paz",2014,358,264,90,4,0,0,0,136,67,44,0,1,349,0,1,7
"Arizona","Maricopa",2014,365,41,279,42,2,1,0,221,108,67,0,13,198,0,90,64
"Arizona","Mohave",2014,365,356,9,0,0,0,0,77,31,18,0,0,0,0,20,345
"Arizona","Navajo",2014,365,272,91,2,0,0,0,101,64,44,0,0,358,0,1,6
"Arizona","Pima",2014,365,220,142,3,0,0,0,129,74,48,0,3,243,0,31,88
"Arizona","Pinal",2014,365,60,218,55,17,3,3,881,142,71,0,0,71,0,31,263
"Arizona","Santa Cruz",2014,365,267,94,2,2,0,0,199,69,34,0,0,0,0,131,234
"Arizona","Yavapai",2014,280,185,89,6,0,0,0,140,77,44,0,0,242,0,38,0
"Arizona","Yuma",2014,365,221,127,12,3,2,0,284,84,47,0,0,191,0,53,121
"Arkansas","Arkansas",2014,115,91,24,0,0,0,0,91,61,34,0,0,0,0,115,0
"Arkansas","Ashley",2014,118,97,21,0,0,0,0,73,58,33,0,0,0,0,118,0
"Arkansas","Clark",2014,352,342,10,0,0,0,0,90,45,33,0,0,352,0,0,0
"Arkansas","Crittenden",2014,365,317,48,0,0,0,0,93,54,37,0,18,291,0,56,0
"Arkansas","Garland",2014,121,92,29,0,0,0,0,79,58,35,0,0,0,0,121,0
"Arkansas","Jackson",2014,105,75,30,0,0,0,0,83,62,34,0,0,0,0,105,0
"Arkansas","Newton",2014,365,336,29,0,0,0,0,87,49,36,0,0,340,0,25,0
"Arkansas","Polk",2014,360,304,56,0,0,0,0,100,57,38,0,0,298,0,62,0
"Arkansas","Pulaski",2014,365,228,134,3,0,0,0,115,67,44,0,6,130,0,229,0
"Arkansas","Union",2014,365,335,30,0,0,0,0,89,45,4,0,0,0,248,117,0
"Arkansas","Washington",2014,365,316,49,0,0,0,0,86,54,39,0,0,320,0,45,0
"California","Alameda",2014,365,246,109,10,0,0,0,133,69,43,0,28,152,0,185,0
"California","Alpine",2014,50,47,3,0,0,0,0,80,42,23,0,0,0,0,50,0
"California","Amador",2014,359,263,86,10,0,0,0,133,80,42,0,0,359,0,0,0
"California","Butte",2014,365,173,178,12,2,0,0,155,84,52,0,0,228,0,137,0
"California","Calaveras",2014,361,264,93,4,0,0,0,115,71,44,0,0,273,0,88,0
"California","Colusa",2014,365,241,124,0,0,0,0,99,63,44,0,0,150,0,214,1
"California","Contra Costa",2014,365,234,126,5,0,0,0,133,67,45,0,1,160,0,204,0
"California","Del Norte",2014,115,112,3,0,0,0,0,55,33,12,0,0,0,0,115,0
"California","El Dorado",2014,365,223,96,43,3,0,0,161,105,45,0,0,355,0,3,7
"California","Fresno",2014,365,74,167,91,33,0,0,197,148,81,0,0,229,0,133,3
"California","Glenn",2014,365,289,75,1,0,0,0,105,59,41,0,0,253,0,98,14
"California","Humboldt",2014,365,238,123,4,0,0,0,115,64,38,0,0,108,0,239,18
"California","Imperial",2014,365,46,265,45,5,2,2,359,112,67,0,1,103,0,170,91
"California","Inyo",2014,365,233,117,6,5,1,2,911,83,47,0,0,290,0,32,43
"California","Kern",2014,365,32,173,117,42,0,1,307,154,97,0,0,227,0,130,8
"California","Kings",2014,365,85,203,52,25,0,0,172,126,71,0,0,199,0,118,48
"California","Lake",2014,357,336,21,0,0,0,0,93,48,38,0,0,352,0,4,1
"California","Los Angeles",2014,365,23,234,80,26,2,0,205,143,80,0,18,169,0,174,4
"California","Madera",2014,365,95,195,60,15,0,0,179,126,67,0,0,218,0,136,11
"California","Marin",2014,365,261,103,1,0,0,0,107,61,43,0,6,48,0,311,0
"California","Mariposa",2014,365,195,143,26,1,0,0,153,93,49,0,0,302,0,59,4
"California","Mendocino",2014,365,292,73,0,0,0,0,95,58,38,0,0,156,0,208,1
"California","Merced",2014,364,148,158,56,2,0,0,156,113,60,0,2,245,0,115,2
"California","Mono",2014,365,333,20,1,3,2,0,2514,44,15,0,0,0,0,30,335
"California","Monterey",2014,365,337,28,0,0,0,0,100,48,37,0,0,250,0,79,36
"California","Napa",2014,365,214,151,0,0,0,0,88,65,46,0,0,66,0,299,0
"California","Nevada",2014,365,214,117,33,1,0,0,163,100,46,0,0,357,0,8,0
"California","Orange",2014,365,83,261,19,2,0,0,156,87,59,0,16,71,0,276,2
"California","Placer",2014,365,168,169,23,4,1,0,240,97,52,0,2,239,0,124,0
"California","Plumas",2014,127,72,42,10,3,0,0,156,103,41,0,0,0,0,127,0
"California","Riverside",2014,365,19,190,122,32,1,0,537,150,93,0,0,202,0,99,64
"California","Sacramento",2014,365,178,147,40,0,0,0,147,105,51,0,2,245,0,116,2
"California","San Benito",2014,365,299,62,4,0,0,0,115,61,42,0,0,343,0,20,2
"California","San Bernardino",2014,365,38,200,82,44,1,0,201,159,80,0,16,213,0,119,17
