STATELONG,STATE_SHORT,FIPS,STATEFP,COUNTYFP,COUNTY,COUNTY_SEATS,LATITUDE,LONGITUDE
Alabama,AL,1001,1,1,Autauga,Prattville,32.536382,-86.64449
Alabama,AL,1003,1,3,Baldwin,Bay Minette,30.659218,-87.746067
Alabama,AL,1005,1,5,Barbour,Clayton,31.870670,-85.405456
Alabama,AL,1007,1,7,Bibb,Centreville,33.015893,-87.127148
Alabama,AL,1009,1,9,Blount,Oneonta,33.977448,-86.567246
Alabama,AL,1011,1,11,Bullock,Union Springs,32.101759,-85.717261
Alabama,AL,1013,1,13,Butler,Greenville,31.751667,-86.681969
Alabama,AL,1015,1,15,Calhoun,Anniston,33.771706,-85.822513
Alabama,AL,1017,1,17,Chambers,Lafayette,32.917943,-85.391812
Alabama,AL,1019,1,19,Cherokee,Centre,34.069515,-85.654242
Alabama,AL,1021,1,21,Chilton,Clanton,32.854060,-86.726628
Alabama,AL,1023,1,23,Choctaw,Butler,31.991008,-88.248887
Alabama,AL,1025,1,25,Clarke,Grove Hill,31.685521,-87.818624
Alabama,AL,1027,1,27,Clay,Ashland,33.267809,-85.862051
Alabama,AL,1029,1,29,Cleburne,Heflin,33.671981,-85.516109
Alabama,AL,1031,1,31,Coffee,"Elba, Enterprise",31.402183,-85.989201
Alabama,AL,1033,1,33,Colbert,Tuscumbia,34.703112,-87.801457
Alabama,AL,1035,1,35,Conecuh,Evergreen,31.428293,-86.992029
Alabama,AL,1037,1,37,Coosa,Rockford,32.931445,-86.243482
Alabama,AL,1039,1,39,Covington,Andalusia,31.243987,-86.448721
Alabama,AL,1041,1,41,Crenshaw,Luverne,31.732826,-86.319222
Alabama,AL,1043,1,43,Cullman,Cullman,34.131923,-86.869267
Alabama,AL,1045,1,45,Dale,Ozark,31.430654,-85.609476
Alabama,AL,1047,1,47,Dallas,Selma,32.333540,-87.114356
Alabama,AL,1049,1,49,DeKalb,Fort Payne,34.460929,-85.803992
Alabama,AL,1051,1,51,Elmore,Wetumpka,32.597229,-86.142739
